timestamp,sensor_id,reading
2025-04-18 18:10:35,0,-3.92
2025-04-18 18:10:36,1,27.71
2025-04-18 18:10:38,2,-5.16
2025-04-18 18:10:40,0,-4.09
2025-04-18 18:10:42,1,27.72
2025-04-18 18:10:44,2,-4.50
2025-04-18 18:10:47,0,-3.90
2025-04-18 18:10:49,1,27.65
2025-04-18 18:10:50,2,-4.48
2025-04-18 18:10:53,0,-4.02
2025-04-18 18:10:54,1,28.06
2025-04-18 18:10:56,2,-4.88
2025-04-18 18:10:58,0,-3.94
2025-04-18 18:11:00,1,27.76
2025-04-18 18:11:01,2,-4.76
2025-04-18 18:11:05,0,-3.79
2025-04-18 18:11:06,1,27.76
2025-04-18 18:11:08,2,-4.84
2025-04-18 18:11:10,0,-3.98
2025-04-18 18:11:12,1,27.91
2025-04-18 18:11:13,2,-4.86
2025-04-18 18:11:17,0,-3.94
2025-04-18 18:11:18,1,27.67
2025-04-18 18:11:20,2,-4.69
2025-04-18 18:11:22,0,-4.00
2025-04-18 18:11:24,1,27.67
2025-04-18 18:11:25,2,-4.75
2025-04-18 18:11:29,0,-4.02
2025-04-18 18:11:30,1,27.59
2025-04-18 18:11:32,2,-4.75
2025-04-18 18:11:34,0,-3.85
2025-04-18 18:11:36,1,27.54
2025-04-18 18:11:37,2,-4.82
2025-04-18 18:11:41,0,-3.96
2025-04-18 18:11:42,1,27.63
2025-04-18 18:11:44,2,-4.76
2025-04-18 18:11:46,0,-3.88
2025-04-18 18:11:48,1,27.67
2025-04-18 18:11:49,2,-4.80
2025-04-18 18:11:53,0,-3.77
2025-04-18 18:11:54,1,27.63
2025-04-18 18:11:56,2,-4.61
2025-04-18 18:11:58,0,-3.98
2025-04-18 18:12:00,1,27.74
2025-04-18 18:12:01,2,-4.93
2025-04-18 18:12:05,0,-3.88
2025-04-18 18:12:06,1,27.52
2025-04-18 18:12:08,2,-4.91
2025-04-18 18:12:10,0,-4.02
2025-04-18 18:12:12,1,27.57
2025-04-18 18:12:13,2,-4.91
2025-04-18 18:12:17,0,-3.96
2025-04-18 18:12:18,1,27.52
2025-04-18 18:12:20,2,-4.80
2025-04-18 18:12:29,0,-3.88
2025-04-18 18:12:30,1,27.63
2025-04-18 18:12:32,2,-4.90
