datetime,sensor_id,raw_value,percent
2025-04-18 16:32:49,2,-4.86,-4.86
2025-04-18 16:32:53,0,-4.05,-4.05
2025-04-18 16:32:55,1,68.73,68.73
2025-04-18 16:32:57,2,-4.84,-4.84
2025-04-18 16:32:59,0,-4.2,-4.20
2025-04-18 16:33:01,1,68.67,68.67
2025-04-18 16:33:03,2,-4.6,-4.60
2025-04-18 16:33:05,0,-3.96,-3.96
2025-04-18 16:33:08,1,68.63,68.63
2025-04-18 16:33:10,2,-4.75,-4.75
2025-04-18 16:33:12,0,-3.75,-3.75
2025-04-18 16:33:14,2,-4.82,-4.82
2025-04-18 16:33:14,1,68.58,68.58
2025-04-18 16:33:18,0,-4.07,-4.07
2025-04-18 16:33:20,2,-4.56,-4.56
2025-04-18 16:33:20,1,68.32,68.32
2025-04-18 16:33:24,0,-4.05,-4.05
2025-04-18 16:33:24,1,68.35,68.35
2025-04-18 16:33:28,2,-5.1,-5.10
2025-04-18 16:33:30,0,-4.09,-4.09
2025-04-18 16:33:32,2,-4.2,-4.20
2025-04-18 16:33:32,1,68.26,68.26
2025-04-18 16:33:37,0,-3.98,-3.98
2025-04-18 16:33:37,1,68.19,68.19
2025-04-18 16:33:41,2,-5.16,-5.16
2025-04-18 16:33:43,0,-4.05,-4.05
2025-04-18 16:33:43,1,67.94,67.94
2025-04-18 16:33:47,2,-4.82,-4.82
2025-04-18 16:33:47,0,-3.96,-3.96
2025-04-18 16:33:51,2,-4.71,-4.71
2025-04-18 16:33:51,1,67.87,67.87
2025-04-18 16:33:55,0,-4.03,-4.03
2025-04-18 16:33:55,1,67.9,67.90
2025-04-18 16:33:59,2,-4.73,-4.73
2025-04-18 16:33:59,0,-4.02,-4.02
2025-04-18 16:34:03,2,-5.21,-5.21
2025-04-18 16:34:03,1,67.85,67.85
2025-04-18 16:34:07,0,-4.03,-4.03
2025-04-18 16:34:07,1,67.79,67.79
2025-04-18 16:34:11,2,-4.65,-4.65
2025-04-18 16:34:11,0,-3.98,-3.98
2025-04-18 16:34:16,2,-4.76,-4.76
2025-04-18 16:34:16,1,67.55,67.55
2025-04-18 16:34:20,2,-4.71,-4.71
2025-04-18 16:34:20,0,-3.68,-3.68
2025-04-18 16:34:20,1,67.66,67.66
2025-04-18 16:34:26,2,-4.78,-4.78
