datetime,sensor_id,raw_value,percent
2025-03-18 01:43:31,0,874,85.43
2025-03-18 01:43:32,0,873,85.34
2025-03-18 01:43:35,0,804,78.59
2025-03-18 01:43:36,0,875,85.53
2025-03-18 01:43:37,0,875,85.53
2025-03-18 01:43:38,0,875,85.53
2025-03-18 01:43:39,0,875,85.53
2025-03-18 01:43:40,0,874,85.43
2025-03-18 01:43:41,0,874,85.43
2025-03-18 01:43:42,0,874,85.43
2025-03-18 01:43:45,0,803,78.49
2025-03-18 01:43:46,0,874,85.43
2025-03-18 01:43:47,0,874,85.43
2025-03-18 01:43:48,0,874,85.43
2025-03-18 01:43:49,0,875,85.53
2025-03-18 01:43:50,0,874,85.43
2025-03-18 01:43:51,0,874,85.43
2025-03-18 01:43:52,0,874,85.43
2025-03-18 01:43:55,0,804,78.59
2025-03-18 01:43:56,0,874,85.43
2025-03-18 01:43:57,0,874,85.43
2025-03-18 01:43:58,0,873,85.34
2025-03-18 01:43:59,0,874,85.43
2025-03-18 01:44:00,0,874,85.43
2025-03-18 01:44:01,0,874,85.43
2025-03-18 01:44:02,0,874,85.43
2025-03-18 01:44:05,0,803,78.49
2025-03-18 01:44:06,0,874,85.43
2025-03-18 01:44:07,0,874,85.43
2025-03-18 01:44:08,0,874,85.43
2025-03-18 01:44:09,0,875,85.53
2025-03-18 01:44:10,0,875,85.53
2025-03-18 01:44:11,0,875,85.53
2025-03-18 01:44:12,0,874,85.43
2025-03-18 01:44:15,0,803,78.49
2025-03-18 01:44:16,0,875,85.53
2025-03-18 01:44:17,0,874,85.43
2025-03-18 01:44:18,0,875,85.53
2025-03-18 01:44:19,0,874,85.43
2025-03-18 01:44:20,0,874,85.43
2025-03-18 01:44:21,0,874,85.43
2025-03-18 01:44:22,0,874,85.43
2025-03-18 01:44:25,0,803,78.49
2025-03-18 01:44:26,0,874,85.43
2025-03-18 01:44:27,0,875,85.53
2025-03-18 01:44:28,0,875,85.53
2025-03-18 01:44:29,0,873,85.34
2025-03-18 01:44:30,0,875,85.53
2025-03-18 01:44:31,0,873,85.34
2025-03-18 01:44:32,0,875,85.53
2025-03-18 01:44:35,0,802,78.40
2025-03-18 01:44:36,0,874,85.43
2025-03-18 01:44:37,0,875,85.53
2025-03-18 01:44:38,0,874,85.43
